"Title","Slug / filename","Category","Score","Status","Strengths","Weaknesses","AI-pattern notes","Florida/context notes","Internal link opportunities","CTA recommendation","Visual opportunity","Recommended image prompt","Final action"
"What Florida Homeowners Should Know Before Hiring a Tree Removal Company","hiring-a-tree-removal-company-in-florida.md","Tree Removal","77","Major rewrite","High commercial intent; practical hiring theme; Florida risk language.","No internal links; no clear CTA; older intro is slower than newer checklist pages.","Some generic phrasing and visible artifact risk; needs less broad setup.","Good Florida framing around storms, access, and quote risk.","Questions checklist; low quote checklist; written estimate; red flags; permit guide.","Add soft CTA to request local assistance or compare written estimates.","Checklist graphic for comparing tree removal companies.","Homeowner comparing three written Florida tree removal estimates with insurance, cleanup, stump, and permit checklist callouts.","Major rewrite"
"Questions to Ask Before Hiring a Tree Removal Service in Florida","questions-to-ask-before-hiring-a-tree-removal-service-in-florida.md","Hiring a Tree Service","91","Minor polish","Strong checklist; excellent decision support; useful insurance/permit/workers comp questions.","Some absolute internal links; a few linked targets may need verification.","Repetitive checklist rhythm but acceptable for intent.","Strong Florida relevance for insurance, permits, HOA, storms, and power lines.","Convert absolute internal links to site-relative and verify emergency/county targets.","Add a final CTA to discuss a tree removal quote or request local assistance.","Downloadable hiring-question checklist.","Clean clipboard checklist titled questions to ask before hiring a Florida tree removal service beside a driveway tree.","Minor polish"
"Tree Service Red Flags: When to Walk Away Before the Job Starts","tree-service-red-flags-when-to-walk-away-before-the-job-starts.md","Hiring a Tree Service","88","Needs revision","Strong red-flag framing and useful hiring-risk structure.","Some stale/possibly missing links; CTA is weak.","Repetitive red-flag numbering is useful but slightly formulaic.","Good Florida permit, storm, power-line, and cleanup context.","Verify licensed/insured and cheapest quote target URLs; link to written estimate and local assistance.","Add a calm CTA after red flags: get a written quote reviewed before approving work.","Warning-sign checklist for quote review.","Florida homeowner reviewing a tree service quote with red flag icons for insurance, permits, cleanup, and power lines.","Medium revision"
"Red Flags Before Hiring a Tree Removal Crew in Florida","red-flags-before-hiring-a-tree-removal-crew-in-florida.md","Arborist Services","82","Needs revision","Useful homeowner warnings; good coverage of access, cleanup, permits, and pressure tactics.","Overlaps with stronger red-flag page; category may be mismatched; likely stale internal targets.","Final Takeaway and repeated red-flag pattern feel templated.","Strong Florida property context.","Current written estimate; low quote checklist; insurance/permit; emergency content.","Add CTA to compare written scope before hiring.","Side-by-side safe vs risky estimate card.","Two Florida tree removal estimate cards, one vague and one complete, with highlighted red flags.","Medium revision"
"Red Flags Before Hiring a Tree Removal Crew in Florida: Licensing, Insurance, and Estimate Clues","red-flags-before-hiring-a-tree-removal-crew-in-florida-licensing-insurance-and-estimate-clues.md","Arborist Services","80","Needs revision","Good title clarity; useful licensing/insurance focus; practical questions.","Duplicates other red-flag content; thin link support; CTA needs sharper next step.","Final Takeaway and generic section rhythm increase AI-pattern risk.","Good Florida framing but could add more specific verification paths.","Permit guide; written estimate; low quote checklist; workers comp / insurance sources if retained.","CTA should guide reader to request a written, scoped estimate.","Licensing / insurance verification visual.","Florida homeowner checking insurance certificate, business registration, and written tree removal estimate before hiring.","Medium revision"
"Low Tree Removal Quote Checklist: What Florida Homeowners Should Confirm Before Saying Yes","low-tree-removal-quote-checklist-what-florida-homeowners-should-confirm-before-saying-yes.md","Hiring a Tree Service","88","Needs revision","Strong checklist format; excellent commercial intent; clear homeowner action steps.","Some absolute links and repeated cheapest-quote link; CTA is not distinct.","Checklist rhythm is appropriate but could use more natural transitions.","Strong Florida-specific risk factors.","Written estimate; cleanup quote; power-line safety; permit guide; local assistance.","Add CTA to compare a low quote against a complete scope before approving.","Low quote verification checklist.","Florida tree removal quote checklist with checkboxes for insurance, cleanup, stump grinding, permits, and power lines.","Medium revision"
"Why the Cheapest Tree Removal Quote Can Become the Most Expensive","why-the-cheapest-tree-removal-quote-can-become-the-most-expensive.md","Hiring a Tree Service","90","Minor polish","Strong commercial hook; useful hidden-cost framing; good source support.","CTA could be stronger; some link presentation should remain descriptive.","Low AI risk overall; strong specificity offsets repeated hidden-cost headings.","Excellent Florida-specific risk and storm-pressure framing.","Written estimate; cleanup; low quote checklist; red flags; request assistance.","Add CTA to review quote scope before accepting the lowest price.","Hidden-cost quote comparison graphic.","Florida homeowner comparing a cheap tree removal quote against a complete quote with hidden cost callouts.","Minor polish"
"What Should Be in a Written Tree Removal Estimate?","what-should-be-in-a-written-tree-removal-estimate.md","Hiring a Tree Service","86","Needs revision","Strong intent match; detailed estimate checklist; useful homeowner education.","Some linked targets appear stale; CTA weak.","Numbered structure is appropriate but dense.","Good Florida mentions around permits, storm damage, cleanup, and access.","Verify stale quote/insurance links; add cleanup, low quote, red flags, final invoice article.","Add CTA to request a written estimate that separates removal, hauling, and stump work.","Estimate anatomy diagram.","Annotated Florida tree removal estimate showing scope, cleanup, stump grinding, permit responsibility, and payment terms.","Medium revision"
"What Should Be Included in a Tree Removal Estimate in Florida?","what-should-be-included-in-a-tree-removal-estimate-in-florida.md","Arborist Services","80","Needs revision","Good intent and clear scope; useful estimate categories.","No internal links; overlaps with written estimate article; needs differentiation.","Final Takeaway and generic list structure feel templated.","Good Florida context but should include more county/HOA/storm examples.","Written estimate article; final invoice; cleanup quote; permit guide; red flags.","Add CTA to confirm estimate details before scheduling work.","Estimate detail checklist.","Close-up of a Florida tree removal estimate with sections for tree location, method, cleanup, hauling, and stump grinding.","Medium revision"
"Tree Removal Estimate vs Final Invoice: What Can Change the Price?","tree-removal-estimate-vs-final-invoice-what-can-change-the-price.md","Arborist Services","82","Needs revision","Useful after-estimate decision topic; good explanation of price changes.","Some likely stale link targets; CTA needs clearer next action.","Final Takeaway and repeated caution pattern add AI-pattern risk.","Good Florida examples around access, storms, permits, and hauling.","Written estimate; low quote checklist; cleanup quote; photo documentation.","Add CTA to clarify exclusions before work begins.","Estimate-to-invoice comparison visual.","Side-by-side Florida tree removal estimate and final invoice with changed-price reasons highlighted.","Medium revision"
